数据集,方法,70%轮次,70%时间(分钟),75%轮次,75%时间(分钟),80%轮次,80%时间(分钟),总时间(分钟),最佳准确率
FMNIST_0.1,REHFL,155,4.69,392,11.63,974,28.73,58.48,82.87
FMNIST_0.1,HiFlash,240,9.24,566,21.68,1380,52.37,75.7,78.42
FMNIST_0.1,FedAT,357,9.46,731,19.06,-,-,51.94,79.08
FMNIST_0.1,FedBuff,396,7.93,907,16.98,-,-,36.29,73.1
