数据集,方法,75%轮次,75%时间(分钟),80%轮次,80%时间(分钟),85%轮次,85%时间(分钟),总时间(分钟),最佳准确率
nonIID(0.1),fedavg,122,22.27,220,40.28,563,103.36,91.69,84.92
nonIID(0.1),fedlc,93,17.08,163,29.78,414,75.83,91.57,86.07
nonIID(0.1),FedDocs,61,9.92,115,18.41,299,47.66,80.07,86.78
nonIID(0.1),PyramidFL,65,11.88,110,20.12,356,64.48,89.56,86.31
nonIID(0.1),FedAGSA,55,5.97,144,15.9,338,38.22,56.69,86.58
