数据集,方法,60%轮次,60%时间(分钟),65%轮次,65%时间(分钟),70%轮次,70%时间(分钟),总时间(分钟),最佳准确率
nonIID(0.5),fedavg,38,15.5,52,21.33,109,44.51,202.24,75.3
nonIID(0.5),fedlc,40,16.33,63,25.68,131,53.16,199.83,75.06
nonIID(0.5),FedDocs,29,10.99,56,20.75,125,46.32,185.75,74.17
nonIID(0.5),PyramidFL,24,8.82,43,16.1,91,34.07,196.28,75.55
