数据集,方法,75%轮次,75%时间(分钟),80%轮次,80%时间(分钟),85%轮次,85%时间(分钟),总时间(分钟),最佳准确率
nonIID(0.5),fedavg,62,11.29,135,24.54,290,53.24,91.69,86.87
nonIID(0.5),fedlc,43,7.8,106,19.33,225,41.17,91.69,88.09
nonIID(0.5),FedDocs,40,7.27,90,16.54,185,33.92,91.81,88.31
nonIID(0.5),PyramidFL,30,5.28,80,14.31,158,28.74,92.41,88.99
