数据集,方法,60%轮次,60%时间(分钟),65%轮次,65%时间(分钟),70%轮次,70%时间(分钟),总时间(分钟),最佳准确率
nonIID(sorted),FedAGSA,47,12.09,81,21.12,0,0,80.48,69.19
nonIID(0.1),FedDocs,58,20.96,156,57.46,0,0,110.96,68.08
nonIID(0.1),PyramidFL,53,20.72,125,49.23,0,0,120.14,66.9
nonIID(0.1),fedlc,86,35.05,164,66.37,0,0,120.46,68.37
nonIID(0.1),fedavg,87,35.77,181,73.62,0,0,121.83,68.4
