group_id,group_data_num,group_wait_delay_time_ratio,group_delay_time,group_delay_var,group_kl_divergence,client_id_list,group_delay_time_list,group_label0,group_label1,group_label2,group_label3,group_label4,group_label5,group_label6,group_label7,group_label8,group_label9
0,5998.0,0.037204301075268884,9.3,0.04800400000000003,2.224446462197044e-07,"[32, 14, 96, 76, 70, 92, 66, 30, 0, 17]","[8.65, 8.7, 8.72, 8.83, 8.94, 8.96, 9.03, 9.18, 9.23, 9.3]",600,600,600,599,600,599,600,600,600,600
1,7623.0,0.03834478351174316,11.38,0.1354049586776861,0.0010791645223374594,"[80, 73, 72, 47, 40, 71, 56, 26, 42, 28, 64]","[10.04, 10.55, 10.78, 10.86, 10.93, 11.09, 11.1, 11.13, 11.18, 11.34, 11.38]",722,812,750,744,721,764,767,800,723,820
2,4940.0,0.08704819277108441,4.15,0.02766093750000003,0.010277747947677591,"[25, 50, 13, 69, 88, 9, 15, 53]","[3.57, 3.62, 3.7, 3.78, 3.81, 3.82, 3.86, 4.15]",446,352,593,568,473,586,462,458,498,504
3,4374.0,0.10330578512396693,12.1,0.518977777777778,0.0033555962567454432,"[19, 3, 52, 49, 79, 41, 61, 45, 48]","[9.94, 10.1, 10.11, 10.58, 10.63, 11.19, 11.29, 11.71, 12.1]",478,387,449,456,479,436,432,400,477,380
4,4598.0,0.08581081081081085,7.4,0.16365000000000007,0.017756161144155055,"[74, 87, 63, 95, 75, 68, 31, 7]","[6.06, 6.5, 6.58, 6.7, 6.71, 6.87, 7.3, 7.4]",497,350,378,333,428,495,513,643,483,478
5,6029.0,0.11813380281690135,5.68,0.19646899999999995,0.008405228257538254,"[36, 24, 16, 27, 43, 82, 51, 81, 86, 46]","[4.32, 4.49, 4.54, 4.92, 4.93, 4.94, 5.32, 5.46, 5.49, 5.68]",687,654,563,584,660,510,686,464,540,681
6,7528.0,0.14400889630247427,3.27,0.1192628099173554,0.005368721326202943,"[37, 94, 54, 34, 83, 22, 39, 2, 6, 97, 90]","[2.03, 2.56, 2.58, 2.63, 2.74, 2.79, 2.81, 2.97, 3.17, 3.24, 3.27]",790,823,751,695,831,881,632,715,767,643
7,4466.0,0.21876351059230428,2.57,0.16537283950617285,0.015135709603614851,"[91, 1, 85, 8, 44, 59, 62, 5, 99]","[1.22, 1.69, 1.74, 1.75, 2.14, 2.29, 2.31, 2.36, 2.57]",410,376,447,504,369,319,567,485,433,556
8,5510.0,0.09773904851625057,7.72,0.8525520661157024,0.0137866615654502,"[93, 33, 23, 55, 12, 20, 18, 4, 89, 60, 38]","[4.69, 6.05, 6.1, 6.9, 7.22, 7.48, 7.53, 7.56, 7.65, 7.72, 7.72]",419,506,642,468,694,517,473,700,529,562
9,8902.0,0.04812164579606439,8.6,0.14083905325443782,0.00976999360400269,"[21, 84, 10, 98, 78, 58, 29, 65, 57, 11, 35, 77, 67]","[7.22, 7.7, 7.91, 8.1, 8.12, 8.19, 8.32, 8.35, 8.42, 8.45, 8.45, 8.59, 8.6]",949,1136,821,1047,743,890,864,733,947,772
