数据集,方法,75%轮次,75%时间(分钟),80%轮次,80%时间(分钟),85%轮次,85%时间(分钟),总时间(分钟),最佳准确率
nonIID(tg70),FedAGSA,26,2.79,69,6.45,147,12.82,26.0,87.48
nonIID(timefirst),PyramidFL,57,10.28,124,22.51,248,44.91,54.31,85.75
nonIID(plus),PyramidFL,39,7.15,94,17.49,233,43.85,56.58,86.4
nonIID(0.5),FedDocs,40,7.27,90,16.54,185,33.92,54.97,86.89
nonIID(0.5),FedLC,43,7.8,106,19.33,225,41.17,54.89,86.52
nonIID(0.5),FedAvg,62,11.29,135,24.54,290,53.24,55.05,85.09
