client_id,group_id,time,data_num
0,0,0,193.0
72,0,0,1507.0
71,0,0,922.0
70,0,0,1203.0
69,0,0,573.0
68,0,0,15.0
67,0,0,256.0
66,0,0,214.0
65,0,0,1266.0
64,0,0,466.0
63,0,0,208.0
62,0,0,380.0
61,0,0,388.0
60,0,0,358.0
59,0,0,1363.0
58,0,0,284.0
57,0,0,506.0
56,0,0,644.0
55,0,0,472.0
54,0,0,104.0
53,1,0,179.0
52,1,0,146.0
73,1,0,489.0
51,1,0,397.0
74,1,0,526.0
76,1,0,211.0
97,1,0,160.0
96,1,0,562.0
95,1,0,734.0
94,1,0,29.0
93,1,0,238.0
92,1,0,210.0
91,1,0,903.0
90,1,0,833.0
89,1,0,630.0
88,1,0,584.0
87,1,0,85.0
86,1,0,1084.0
85,1,0,1180.0
84,1,0,588.0
83,2,0,1193.0
82,2,0,803.0
81,2,0,788.0
80,2,0,167.0
79,2,0,1143.0
78,2,0,878.0
77,2,0,679.0
75,2,0,143.0
50,2,0,1645.0
49,2,0,516.0
48,2,0,655.0
21,2,0,444.0
20,2,0,1220.0
19,2,0,1421.0
18,2,0,699.0
17,2,0,829.0
16,2,0,820.0
15,2,0,1339.0
14,2,0,600.0
13,2,0,454.0
12,3,0,497.0
11,3,0,665.0
10,3,0,181.0
9,3,0,676.0
8,3,0,261.0
7,3,0,276.0
6,3,0,307.0
5,3,0,589.0
4,3,0,584.0
3,3,0,684.0
2,3,0,479.0
1,3,0,21.0
22,3,0,568.0
23,3,0,710.0
24,3,0,526.0
25,3,0,117.0
47,3,0,605.0
46,3,0,194.0
45,3,0,548.0
44,3,0,707.0
43,4,0,689.0
42,4,0,976.0
41,4,0,657.0
40,4,0,648.0
39,4,0,645.0
38,4,0,273.0
98,4,0,331.0
37,4,0,473.0
35,4,0,1648.0
34,4,0,982.0
33,4,0,1016.0
32,4,0,980.0
31,4,0,487.0
30,4,0,190.0
29,4,0,1005.0
28,4,0,96.0
27,4,0,1066.0
26,4,0,857.0
36,4,0,105.0
99,4,0,121.0
