数据集,方法,55%轮次,55%时间(分钟),60%轮次,60%时间(分钟),65%轮次,65%时间(分钟),总时间(分钟),最佳准确率
Cifar10_0.5,REHFL,77,5.14,129,8.59,215,14.62,135.73,71.71
Cifar10_0.5,HiFlash,98,10.0,148,15.17,265,27.21,206.87,70.83
Cifar10_0.5,FedAT,193,13.7,285,20.27,562,40.48,145.55,70.61
Cifar10_0.5,FedBuff,226,11.64,354,18.07,535,27.11,100.42,70.66
