数据集,方法,55%轮次,55%时间(分钟),60%轮次,60%时间(分钟),65%轮次,65%时间(分钟),总时间(分钟),最佳准确率
Cifar10_0.1,REHFL,168,11.46,267,18.26,1788,122.91,137.5,61.35
Cifar10_0.1,HiFlash,227,23.23,538,55.19,-,-,205.2,55.93
Cifar10_0.1,FedAT,410,28.14,-,-,-,-,141.88,55.15
Cifar10_0.1,FedBuff,464,22.78,554,27.16,1414,69.04,97.7,57.97
