client_id,group_id,time,data_num
0,0,0,244.0
72,0,0,56.0
71,0,0,820.0
70,0,0,968.0
69,0,0,695.0
68,0,0,135.0
67,0,0,566.0
66,0,0,597.0
65,0,0,126.0
64,0,0,571.0
63,0,0,491.0
62,0,0,294.0
61,0,0,214.0
60,0,0,749.0
59,0,0,72.0
58,0,0,36.0
57,0,0,56.0
56,0,0,690.0
55,0,0,841.0
54,0,0,462.0
53,1,0,792.0
52,1,0,608.0
73,1,0,919.0
51,1,0,138.0
74,1,0,245.0
76,1,0,1008.0
97,1,0,321.0
96,1,0,719.0
95,1,0,886.0
94,1,0,170.0
93,1,0,1459.0
92,1,0,281.0
91,1,0,494.0
90,1,0,946.0
89,1,0,286.0
88,1,0,447.0
87,1,0,733.0
86,1,0,507.0
85,1,0,164.0
84,1,0,935.0
83,2,0,754.0
82,2,0,201.0
81,2,0,122.0
80,2,0,738.0
79,2,0,617.0
78,2,0,788.0
77,2,0,1690.0
75,2,0,733.0
50,2,0,895.0
49,2,0,323.0
48,2,0,468.0
21,2,0,82.0
20,2,0,460.0
19,2,0,702.0
18,2,0,274.0
17,2,0,1705.0
16,2,0,712.0
15,2,0,364.0
14,2,0,187.0
13,2,0,420.0
12,3,0,1422.0
11,3,0,580.0
10,3,0,411.0
9,3,0,466.0
8,3,0,809.0
7,3,0,506.0
6,3,0,750.0
5,3,0,935.0
4,3,0,342.0
3,3,0,433.0
2,3,0,723.0
1,3,0,767.0
22,3,0,484.0
23,3,0,426.0
24,3,0,289.0
25,3,0,933.0
47,3,0,844.0
46,3,0,348.0
45,3,0,552.0
44,3,0,816.0
43,4,0,773.0
42,4,0,632.0
41,4,0,357.0
40,4,0,756.0
39,4,0,375.0
38,4,0,1225.0
98,4,0,572.0
37,4,0,1475.0
35,4,0,985.0
34,4,0,594.0
33,4,0,353.0
32,4,0,71.0
31,4,0,810.0
30,4,0,218.0
29,4,0,599.0
28,4,0,57.0
27,4,0,1382.0
26,4,0,1635.0
36,4,0,697.0
99,4,0,589.0
