group_id,client_id_list,group_data_num,group_delay_time
0,"[0, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54]",8683.0,0
1,"[53, 52, 73, 51, 74, 76, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84]",12058.0,0
2,"[83, 82, 81, 80, 79, 78, 77, 75, 50, 49, 48, 21, 20, 19, 18, 17, 16, 15, 14, 13]",12235.0,0
3,"[12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 22, 23, 24, 25, 47, 46, 45, 44]",12836.0,0
4,"[43, 42, 41, 40, 39, 38, 98, 37, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 36, 99]",14155.0,0
