数据集,方法,70%轮次,70%时间(分钟),75%轮次,75%时间(分钟),80%轮次,80%时间(分钟),总时间(分钟),最佳准确率
FMNIST_0.1,REHFL,155,4.69,392,11.63,974,28.73,58.48,82.87
FMNIST_0.1,REHFL-TEHCGA,181,6.26,459,15.21,1090,35.8,64.96,81.29
FMNIST_0.1,REHFL-SAOBA,146,5.17,484,16.71,1126,38.51,68.37,81.7
FMNIST_0.1,REHFL-HAFCS,226,7.07,595,18.38,1302,39.89,61.26,77.63
