client_id,group_id,time,data_num,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9
0,7,9.23,600.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2
1,0,1.69,600.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0
2,1,2.97,600.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2
3,8,10.1,600.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0
4,5,7.56,600.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
5,0,2.36,600.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0
6,1,3.17,600.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2
7,5,7.4,600.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0
8,0,1.75,600.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2
9,2,3.82,600.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.2
10,5,7.91,600.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
11,6,8.45,600.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0
12,4,7.22,600.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
13,2,3.7,600.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0
14,7,8.7,600.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0
15,2,3.86,600.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0
16,3,4.54,600.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2
17,7,9.3,600.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
18,5,7.53,600.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
19,8,9.94,600.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2
20,5,7.48,600.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0
21,4,7.22,600.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0
22,1,2.79,600.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0
23,4,6.1,600.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0
24,2,4.49,600.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0
25,2,3.57,600.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0
26,9,11.13,600.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0
27,3,4.92,600.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2
28,9,11.34,600.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0
29,6,8.32,600.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2
