数据集,方法,60%轮次,60%时间(分钟),65%轮次,65%时间(分钟),70%轮次,70%时间(分钟),总时间(分钟),最佳准确率
nonIID(sorted),FedAGSA,47,12.09,81,21.12,0,0,80.48,69.19
nonIID(plus1),PyramidFL,41,16.48,135,54.52,0,0,121.31,67.36
nonIID(alpha0.66),FedDocs,39,14.65,93,34.69,0,0,111.98,68.52
nonIID(0.1),TiFL,113,32.03,0,0.0,0,0,88.68,64.12
nonIID(0.1),FedAvg,91,37.41,204,83.0,0,0,121.83,66.75
