label0,label1,label2,label3,label4,label5,label6,label7,label8,label9,data_num
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
60,60,60,60,60,60,60,60,60,60,600
