group_id,client_id_list,group_data_num,group_delay_time
0,"[91, 1, 85, 8, 37, 44, 59, 62, 5, 94, 99, 54, 34, 83, 22, 39, 2, 6, 97, 90]",11994.0,3.27
1,"[25, 50, 13, 69, 88, 9, 15, 53, 36, 24, 16, 93, 27, 43, 82, 51, 81, 86, 46, 33]",11993.0,6.05
2,"[74, 23, 87, 63, 95, 75, 68, 55, 21, 12, 31, 7, 20, 18, 4, 89, 84, 60, 38, 10]",11992.0,7.91
3,"[98, 78, 58, 29, 65, 57, 11, 35, 77, 67, 32, 14, 96, 76, 70, 92, 66, 30, 0, 17]",11996.0,9.3
4,"[19, 80, 3, 52, 73, 49, 79, 72, 47, 40, 71, 56, 26, 42, 41, 61, 28, 64, 45, 48]",11992.0,12.1
