client_id,group_id,time,data_num,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9
0,9,25.09,600.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2
1,0,6.03,600.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
2,1,10.27,600.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2
3,5,16.44,600.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2
4,5,15.88,600.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2
5,5,14.77,600.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0
6,5,14.98,600.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
7,2,11.57,600.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2
8,1,10.88,600.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
9,5,16.03,600.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
10,8,21.51,600.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2
11,6,17.04,600.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2
12,2,11.03,600.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2
13,2,11.58,600.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2
14,6,17.55,600.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0
15,2,11.91,600.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0
16,2,11.52,600.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0
17,8,19.69,600.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2
18,3,13.27,600.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0
19,6,18.17,600.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0
20,3,12.46,600.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0
21,5,15.8,600.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0
22,3,12.88,600.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2
23,7,19.58,600.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2
24,4,14.57,600.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0
25,1,9.61,600.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2
26,7,19.13,600.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0
27,1,10.24,600.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
28,9,25.14,600.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
29,7,19.63,600.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0
30,5,16.11,600.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0
31,8,20.0,600.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0
32,9,24.92,600.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2
33,3,12.23,600.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0
34,0,6.04,600.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0
35,5,15.31,600.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2
36,3,12.55,600.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2
37,2,11.72,600.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0
38,4,14.73,600.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0
39,0,8.29,600.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2
40,7,19.64,600.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.2
41,8,20.62,600.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.2
42,9,22.75,600.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0
43,2,11.63,600.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
44,3,12.96,600.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2
45,9,25.55,600.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2
46,3,13.35,600.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0
47,6,17.66,600.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2
48,9,26.2,600.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0
49,8,22.24,600.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0
50,0,7.1,600.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0
51,4,13.37,600.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0
52,7,19.19,600.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2
53,1,9.38,600.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2
54,0,7.16,600.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2
55,4,14.29,600.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2
56,8,21.04,600.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2
57,6,16.63,600.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0
58,8,22.18,600.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0
