epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[66, 21, 61, 24, 79, 54, 98, 0, 72, 35]",27.41,2.25774909734726,3.213148832321167,11.29,11.29
2,"[72, 0, 79, 98, 24, 91, 39, 12, 1, 90]",32.08,2.1295680689811705,4.731519460678101,10.78,22.07
3,"[12, 24, 72, 61, 1, 59, 32, 26, 10, 42]",37.54,1.7996326303482055,6.454407453536987,11.29,33.36
4,"[98, 59, 12, 0, 54, 86, 2, 16, 4, 34]",39.1,1.453438082933426,8.031052589416504,9.23,42.59
5,"[91, 1, 35, 98, 79, 8, 36, 18, 14, 45]",48.07,1.3718565690517426,9.362282037734984,11.71,54.300000000000004
6,"[79, 2, 42, 26, 86, 62, 94, 15, 43, 75]",51.21,1.284790382385254,10.93399167060852,11.18,65.48
7,"[2, 4, 61, 8, 36, 20, 73, 27, 5, 51]",54.62,1.239927010536194,12.377074718475342,11.29,76.77000000000001
8,"[66, 21, 27, 79, 26, 63, 13, 78, 69, 95]",61.61,1.0371096831560136,13.950732946395874,11.13,87.9
9,"[4, 15, 2, 91, 94, 99, 3, 6, 93, 50]",58.34,1.083002692461014,15.554967164993286,10.1,98.0
10,"[39, 86, 72, 35, 20, 44, 64, 33, 56, 74]",54.25,1.0474269890785215,17.08061170578003,11.38,109.38
11,"[14, 42, 13, 63, 86, 25, 97, 87, 38, 55]",63.13,0.9363294869661332,18.370483875274655,11.18,120.56
12,"[54, 56, 87, 27, 50, 11, 17, 37, 60, 46]",62.26,0.9915793335437776,19.857280254364014,11.1,131.66
13,"[56, 11, 2, 34, 62, 83, 70, 29, 65, 80]",64.19,0.9561942988634108,21.406283855438232,11.1,142.76
14,"[74, 20, 34, 54, 38, 49, 19, 7, 89, 52]",60.54,0.9884177404642104,22.872263431549072,10.58,153.34
15,"[38, 21, 12, 7, 36, 58, 53, 41, 88, 84]",63.49,0.9528935658931732,24.237757444381717,11.19,164.53
16,"[43, 33, 84, 29, 2, 48, 31, 77, 76, 82]",66.03,0.8902819412946701,25.714438676834103,12.1,176.63
17,"[74, 21, 65, 26, 2, 40, 47, 71, 57, 68]",68.79,0.8628632658720017,27.30471658706665,11.13,187.76
