group_id,client_id_list,group_data_num,group_delay_time,group_delay_var,group_kl_divergence,group_label0,group_label1,group_label2,group_label3,group_label4,group_label5,group_label6,group_label7,group_label8,group_label9
0,"[54, 86, 2, 70, 3, 67, 47, 84, 52, 29, 66, 56, 68]",7996.0,25.22,24.09654674556213,0.0005082918939318887,795,831,802,758,797,816,833,770,824,770
1,"[91, 33, 20, 36, 22, 44, 46, 5, 95, 35, 89, 26, 61, 31, 72]",9654.0,22.75,16.471638222222218,0.0011278053434193936,922,1029,932,911,947,953,920,1047,993,1000
2,"[34, 27, 93, 8, 16, 18, 51, 76, 55, 21, 75, 19, 58, 42, 64]",8993.0,26.23,27.31157333333334,0.0012467515490566538,901,835,865,988,874,941,932,931,859,867
3,"[1, 62, 50, 69, 59, 94, 43, 87, 24, 38, 23, 10, 28, 45, 48]",9180.0,26.2,48.93208266666667,0.0012682579750446406,988,887,950,918,894,868,862,951,872,990
4,"[97, 85, 12, 13, 99, 92, 78, 63, 60, 80, 98, 17, 41, 49, 32]",7465.0,24.92,22.04745955555556,0.0014150852510430249,747,750,717,721,835,752,766,670,761,746
5,"[53, 74, 7, 37, 15, 83, 96, 4, 9, 81, 11, 40, 90, 77]",9402.0,20.38,11.888731122448977,0.0015268869954007105,932,1002,1000,969,950,999,877,844,928,901
6,"[39, 88, 25, 82, 65, 6, 30, 57, 14, 73, 0, 79, 71]",7281.0,28.13,39.39639053254438,0.0017962522915303055,713,662,734,731,701,668,804,786,759,723
