client_id,group_id,system_time
0,2,10.783508269914197
1,0,6.6864068363663405
2,4,6.912174064437725
3,3,15.42439047277609
4,1,18.3913251431621
5,1,6.140767147686006
6,0,9.782752259472378
7,4,13.014632175527762
8,3,4.8535630979791105
9,3,5.426812872316384
10,0,12.644781098023572
11,0,10.58356485847811
12,4,13.426796935209115
13,1,13.285218742560232
14,1,16.750257074564434
15,1,14.079074800583292
16,2,13.126602277906198
17,3,12.835582872286185
18,2,15.659926543386167
19,2,16.79595376583444
20,3,14.260080668852492
21,1,18.233335283624513
22,2,7.599054968821111
23,2,6.454358405589741
24,2,8.107891056225148
25,4,7.840123284601464
26,1,20.81291395303248
27,3,13.281733245205132
28,3,13.362359774308233
29,0,16.16280695174434
30,3,13.852797764768113
31,1,10.62970581286499
32,0,10.702153848882492
33,0,9.72462863360872
34,0,8.473489639286743
35,4,11.973577964050772
36,2,10.734857129029358
37,1,12.03539895845278
38,3,11.959682707486106
39,2,11.402938399076108
40,1,23.006787362364307
41,2,15.57804370233124
42,0,18.830661562804085
43,4,8.664561996277307
44,1,7.11722446147459
45,3,12.684852868417503
46,2,12.69243220044755
47,3,17.063551477443532
48,3,13.714174056582785
49,1,14.771801958556281
50,0,9.354494978843748
51,4,8.285015940951467
52,0,12.357352830710935
53,4,8.79921872105632
54,3,10.268025009886053
55,0,10.160755805295949
56,1,21.02909236851921
57,1,17.617055601388344
58,0,12.182784051178961
59,2,9.948900403748517
60,2,12.116992521413213
61,2,19.36212445296745
62,4,7.466919953698888
63,2,12.472477944407377
64,2,13.74103332104082
65,3,16.063271138437614
66,1,13.912200665605212
67,4,10.881053744850906
68,0,8.285689010711941
69,0,8.412188196250014
70,4,14.491807551601863
71,1,12.995739214616641
72,0,18.733996785534224
73,4,13.262864214476792
74,3,11.936550286578916
75,4,9.487656082491473
76,4,14.433866453690875
77,0,15.042202207130355
78,2,16.731803659618645
79,1,12.8988809984772
80,4,13.771209359799336
81,3,6.736143085499449
82,2,13.840604381367362
83,0,14.994127897026766
84,2,11.501654096838944
85,2,8.91145103862733
86,4,11.984930955474328
87,3,11.893760432834524
88,4,8.613006873186363
89,2,11.634768506769246
90,1,4.5814080410972915
91,3,8.16003676759659
92,4,15.449480832921974
93,3,11.093426997104316
94,4,6.343132490934365
95,2,11.893762287895886
96,3,16.20113481487424
97,2,11.386428335691829
98,0,20.662644575249537
99,1,13.11491402836158
