数据集,方法,70%轮次,70%时间(分钟),75%轮次,75%时间(分钟),80%轮次,80%时间(分钟),总时间(分钟),最佳准确率
FMNIST_0.5,FLEC,124,3.73,300,8.78,767,22.42,58.14,84.94
FMNIST_0.5,HiFlash,111,4.46,308,11.95,755,28.85,76.47,84.76
FMNIST_0.5,FedAT,222,5.99,506,13.41,1172,30.69,52.1,82.58
FMNIST_0.5,FedBuff,216,4.61,598,11.34,1451,26.36,36.05,80.92
