epoch,max_delay,cumulative_time,accuracy,loss
1,16.79595376583444,16.79595376583444,9.375,2.5740284644640408
2,8.412188196250014,25.208141962084454,9.375,2.5740284644640408
3,0.0,25.208141962084454,12.029246794871796,2.842846292715806
4,15.659926543386169,40.868068505470625,12.419871794871796,2.73914735745161
5,14.491807551601864,55.35987605707249,12.169471153846153,2.5792311093746085
6,9.354494978843748,64.71437103591624,11.658653846153847,2.582378849005088
7,10.62970581286499,75.34407684878124,11.197916666666666,2.456413379082313
8,12.835582872286183,88.17965972106742,11.618589743589743,2.518441221652887
9,9.72462863360872,97.90428835467614,11.648637820512821,2.5403684805601072
10,15.659926543386169,113.5642148980623,11.508413461538462,2.5668303691423855
11,0.0,113.5642148980623,12.429887820512821,2.587291815342047
12,10.160755805295947,123.72497070335825,13.341346153846153,2.483918923598069
13,14.491807551601864,138.2167782549601,13.962339743589743,2.43832794825236
14,15.659926543386169,153.87670479834628,15.134214743589743,2.4433509692167625
15,10.160755805295947,164.03746060364222,14.513221153846153,2.468364260135553
16,0.0,164.03746060364222,17.628205128205128,2.3044246404598923
17,0.0,164.03746060364222,17.377804487179485,2.358574252862197
18,10.160755805295947,174.19821640893815,16.42628205128205,2.3362248066144113
19,15.659926543386169,189.85814295232433,15.164262820512821,2.3733937984857802
20,10.62970581286499,200.4878487651893,14.022435897435898,2.345033715932797
21,10.160755805295947,210.64860457048525,13.161057692307692,2.234624138245216
22,14.433866453690875,225.08247102417613,19.12059294871795,2.194654073470678
23,16.79595376583444,241.87842479001057,18.56971153846154,2.2078760892916947
24,10.160755805295947,252.0391805953065,19.81169871794872,2.211767942477495
25,10.62970581286499,262.6688864081715,23.177083333333332,2.1329615054986415
26,0.0,262.6688864081715,22.65625,2.1442870176755466
27,8.473489639286743,271.14237604745824,21.41426282051282,2.1648990160379653
28,10.62970581286499,281.7720818603232,17.48798076923077,2.245359044808608
29,16.79595376583444,298.56803562615767,16.967147435897434,2.259697926350129
30,10.160755805295947,308.7287914314536,16.796875,2.2803345857522426
