epoch,accuracy,loss,estimated_time
1,9.375,2.5740284644640408,23.006787362364307
2,9.375,2.5740284644640408,23.006787362364307
3,12.029246794871796,2.842846292715806,23.006787362364307
4,12.419871794871796,2.73914735745161,23.006787362364307
5,12.169471153846153,2.5792311093746085,23.006787362364307
6,11.658653846153847,2.582378849005088,23.006787362364307
7,11.197916666666666,2.456413379082313,23.006787362364307
8,11.618589743589743,2.518441221652887,23.006787362364307
9,11.648637820512821,2.5403684805601072,23.006787362364307
10,11.508413461538462,2.5668303691423855,23.006787362364307
11,12.429887820512821,2.587291815342047,23.006787362364307
12,13.341346153846153,2.483918923598069,23.006787362364307
13,13.962339743589743,2.43832794825236,23.006787362364307
14,15.134214743589743,2.4433509692167625,23.006787362364307
15,14.513221153846153,2.468364260135553,23.006787362364307
16,17.628205128205128,2.3044246404598923,23.006787362364307
17,17.377804487179485,2.358574252862197,23.006787362364307
18,16.42628205128205,2.3362248066144113,23.006787362364307
19,15.164262820512821,2.3733937984857802,23.006787362364307
20,14.022435897435898,2.345033715932797,23.006787362364307
21,13.161057692307692,2.234624138245216,23.006787362364307
22,19.12059294871795,2.194654073470678,23.006787362364307
23,18.56971153846154,2.2078760892916947,23.006787362364307
24,19.81169871794872,2.211767942477495,23.006787362364307
25,23.177083333333332,2.1329615054986415,23.006787362364307
26,22.65625,2.1442870176755466,23.006787362364307
27,21.41426282051282,2.1648990160379653,23.006787362364307
28,17.48798076923077,2.245359044808608,23.006787362364307
29,16.967147435897434,2.259697926350129,23.006787362364307
30,16.796875,2.2803345857522426,23.006787362364307
