epoch,max_delay,cumulative_time
1,16.79595376583444,16.79595376583444
2,8.412188196250014,25.208141962084454
3,0.0,25.208141962084454
4,15.659926543386169,40.868068505470625
5,14.491807551601864,55.35987605707249
6,9.354494978843748,64.71437103591624
7,10.62970581286499,75.34407684878124
8,12.835582872286183,88.17965972106742
9,9.72462863360872,97.90428835467614
10,15.659926543386169,113.5642148980623
11,0.0,113.5642148980623
12,10.160755805295947,123.72497070335825
13,14.491807551601864,138.2167782549601
14,15.659926543386169,153.87670479834628
15,10.160755805295947,164.03746060364222
16,0.0,164.03746060364222
17,0.0,164.03746060364222
18,10.160755805295947,174.19821640893815
19,15.659926543386169,189.85814295232433
20,10.62970581286499,200.4878487651893
21,10.160755805295947,210.64860457048525
22,14.433866453690875,225.08247102417613
23,16.79595376583444,241.87842479001057
24,10.160755805295947,252.0391805953065
25,10.62970581286499,262.6688864081715
26,0.0,262.6688864081715
27,8.473489639286743,271.14237604745824
28,10.62970581286499,281.7720818603232
29,16.79595376583444,298.56803562615767
30,10.160755805295947,308.7287914314536
