group_id,from_epoch,to_epoch,max_delay
0,1,2,8.412188196250014
0,2,6,9.354494978843748
0,6,9,9.72462863360872
0,9,12,10.160755805295947
0,12,15,10.160755805295947
0,15,18,10.160755805295947
0,18,21,10.160755805295947
0,21,24,10.160755805295947
0,24,27,8.473489639286743
0,27,30,10.160755805295947
1,1,3,0.0
1,3,7,10.62970581286499
1,7,11,0.0
1,11,16,0.0
1,16,20,10.62970581286499
1,20,25,10.62970581286499
1,25,28,10.62970581286499
2,1,4,15.659926543386169
2,4,10,15.659926543386169
2,10,14,15.659926543386169
2,14,19,15.659926543386169
2,19,23,16.79595376583444
2,23,29,16.79595376583444
3,1,8,12.835582872286183
3,8,17,0.0
3,17,26,0.0
4,1,5,14.491807551601864
4,5,13,14.491807551601864
4,13,22,14.433866453690875
