epoch,cumulative_time,accuracy,loss
1,0.0,9.375,2.5740284644640408
2,8.412188196250014,9.375,2.5740284644640408
3,8.412188196250014,12.029246794871796,2.842846292715806
4,24.072114739636184,12.419871794871796,2.73914735745161
5,38.56392229123805,12.169471153846153,2.5792311093746085
6,47.9184172700818,11.658653846153847,2.582378849005088
7,58.54812308294679,11.197916666666666,2.456413379082313
8,71.38370595523297,11.618589743589743,2.518441221652887
9,81.10833458884169,11.648637820512821,2.5403684805601072
10,96.76826113222785,11.508413461538462,2.5668303691423855
11,96.76826113222785,12.429887820512821,2.587291815342047
12,106.9290169375238,13.341346153846153,2.483918923598069
13,121.42082448912566,13.962339743589743,2.43832794825236
14,137.08075103251184,15.134214743589743,2.4433509692167625
15,147.24150683780778,14.513221153846153,2.468364260135553
16,147.24150683780778,17.628205128205128,2.3044246404598923
17,147.24150683780778,17.377804487179485,2.358574252862197
18,157.4022626431037,16.42628205128205,2.3362248066144113
19,173.0621891864899,15.164262820512821,2.3733937984857802
20,183.69189499935487,14.022435897435898,2.345033715932797
21,193.8526508046508,13.161057692307692,2.234624138245216
22,208.2865172583417,19.12059294871795,2.194654073470678
23,225.08247102417613,18.56971153846154,2.2078760892916947
24,235.24322682947206,19.81169871794872,2.211767942477495
25,245.87293264233705,23.177083333333332,2.1329615054986415
26,245.87293264233705,22.65625,2.1442870176755466
27,254.3464222816238,21.41426282051282,2.1648990160379653
28,264.9761280944888,17.48798076923077,2.245359044808608
29,281.7720818603232,16.967147435897434,2.259697926350129
30,291.93283766561916,16.796875,2.2803345857522426
