Epoch,Group_ID,Selected_Clients,edge_round_time,Simulation_Time,Accuracy,Loss,Run_Time
6,4,"[12, 75, 25, 73, 76, 43, 67, 35, 2, 53]",8.22,13.22,9.985977564102564,2.261307505460886,22.35289168357849
11,3,"[3, 27, 65, 47, 38, 9, 17, 54, 93, 8]",8.83,13.83,19.21073717948718,2.2366852148985252,30.836123943328857
12,2,"[82, 24, 89, 97, 61, 36, 63, 39, 60, 84]",9.07,14.07,26.812900641025642,2.3366555006076126,34.17483878135681
14,4,"[53, 70, 7, 94, 76, 2, 75, 43, 51, 35]",7.31,25.53,18.719951923076923,2.296694810573871,35.589622259140015
15,1,"[13, 57, 5, 4, 79, 14, 90, 37, 40, 71]",8.71,13.71,16.846955128205128,2.304496373885717,36.30307984352112
16,3,"[9, 27, 91, 30, 93, 87, 28, 20, 47, 38]",8.82,27.65,19.69150641025641,2.2218849658966064,40.13471055030823
17,2,"[39, 63, 89, 59, 23, 85, 82, 24, 46, 22]",5.1,24.17,19.881810897435898,2.081520546705295,42.76713728904724
18,0,"[11, 1, 42, 34, 98, 10, 55, 6, 52, 77]",8.36,13.36,27.213541666666668,1.9375396905801234,43.58565163612366
19,4,"[88, 86, 12, 7, 76, 92, 94, 70, 75, 51]",7.52,38.05,38.932291666666664,1.942470330458421,45.20745515823364
20,1,"[26, 13, 5, 31, 56, 15, 79, 14, 66, 99]",9.04,27.75,27.954727564102566,2.1181337298491063,45.86705708503723
21,3,"[91, 38, 47, 17, 45, 28, 9, 30, 3, 20]",8.86,41.51,26.392227564102566,2.0630998947681527,49.501818895339966
22,2,"[18, 24, 84, 46, 95, 64, 60, 63, 97, 22]",7.89,37.06,34.59535256410256,1.9328953746037605,51.75521159172058
23,0,"[83, 11, 58, 10, 42, 29, 52, 50, 32, 55]",8.36,26.72,40.29447115384615,1.6600163242755792,52.4782338142395
26,3,"[28, 91, 96, 45, 54, 47, 74, 27, 30, 38]",8.85,55.36,24.58934294871795,1.9698418241280775,59.22407674789429
27,2,"[78, 23, 97, 19, 41, 89, 24, 22, 95, 60]",8.67,50.730000000000004,47.365785256410255,1.8193860084582598,61.06537318229675
29,4,"[67, 53, 7, 92, 80, 94, 88, 75, 86, 73]",8.26,51.309999999999995,24.10857371794872,1.8175265116569324,65.14140224456787
31,3,"[8, 17, 96, 54, 47, 87, 65, 91, 93, 48]",8.88,69.24,27.534054487179485,2.09276415904363,67.72504830360413
32,2,"[63, 19, 36, 89, 18, 46, 0, 85, 41, 95]",8.67,64.4,28.99639423076923,1.9049788086842268,69.23678278923035
33,0,"[29, 34, 42, 68, 69, 50, 33, 32, 11, 10]",8.34,40.06,52.09334935897436,1.4332713041550074,70.05875420570374
36,1,"[13, 56, 90, 66, 37, 15, 71, 4, 44, 5]",8.6,41.35,41.37620192307692,1.4914134404598138,77.36388087272644
37,2,"[24, 82, 63, 22, 61, 23, 39, 89, 19, 84]",9.08,78.48,29.627403846153847,1.7653708733045137,78.20374321937561
41,1,"[90, 15, 99, 71, 37, 13, 79, 66, 40, 26]",9.06,55.410000000000004,34.15464743589744,1.7924175659815471,87.31387519836426
44,4,"[62, 86, 51, 35, 73, 67, 76, 53, 25, 80]",8.25,64.56,45.37259615384615,1.5574225279001088,93.37324380874634
