Epoch,Group_ID,Selected_Clients,Client_Count,Max_Delay,Accuracy,Loss,Run_Time
1863,4,12;92;67;88;7;51;75;2;35;76,10,7.45,77.67427884615384,0.6112724328652407,3409.4658744335175
1864,1,14;21;26;13;99;4;15;56;37;44,10,9.05,74.88982371794872,0.6864595948121487,3410.488079547882
1865,2,18;95;46;39;16;22;97;19;41;0,10,8.67,78.10496794871794,0.557720538515311,3411.4149050712585
1866,0,11;72;6;83;58;32;33;42;77;29,10,8.41,72.95673076923077,0.7359460137593441,3412.04678940773
1867,3,27;93;91;30;9;96;81;65;47;45,10,8.83,79.9579326923077,0.5386143280909612,3416.2917885780334
1868,4,25;2;86;51;73;80;12;75;70;62,10,8.25,79.15665064102564,0.5355235150991342,3418.3200759887695
1869,1,31;57;4;37;40;56;49;14;99;71,10,8.94,76.36217948717949,0.6267676865443205,3420.044361114502
1870,0,58;68;50;42;11;77;6;55;33;29,10,8.34,79.77764423076923,0.5326748673732464,3421.121765613556
1871,2,36;16;61;24;60;85;78;41;23;18,10,9.11,74.11858974358974,0.6420119618758177,3421.5796251296997
1872,3,96;81;3;17;54;45;87;48;20;9,10,8.75,79.42708333333333,0.5609338188018554,3425.6181087493896
1873,4,94;43;25;53;12;73;2;88;76;75,10,8.22,81.3301282051282,0.5016351556166624,3427.126352071762
1874,0,11;1;68;98;32;72;34;10;55;6,10,7.88,79.07652243589743,0.5331507695791049,3429.819333791733
1875,1,13;56;15;26;79;5;40;4;44;14,10,9.2,77.91466346153847,0.5779562336512101,3430.294793844223
1876,2,59;46;61;60;78;39;63;24;89;95,10,9.08,82.28165064102564,0.48584767641165316,3431.2089636325836
1877,3,20;28;54;48;93;65;47;74;17;30,10,8.9,79.91786858974359,0.5198748742158597,3435.1351323127747
1878,4,86;62;76;7;35;2;51;53;12;88,10,7.14,77.56410256410257,0.567028562609966,3435.53972530365
1879,0,6;69;77;50;11;33;98;29;10;55,10,6.21,77.97475961538461,0.5734669015957758,3436.5470538139343
1880,1,37;21;57;4;31;56;79;99;5;40,10,8.9,74.92988782051282,0.6678327967723211,3439.7674775123596
1881,2,63;59;41;36;97;24;39;64;82;22,10,8.66,72.5360576923077,0.6801713342085863,3440.4774746894836
1882,4,75;53;88;35;7;86;73;43;62;76,10,8.22,73.83814102564102,0.6718686284163059,3444.563745737076
1883,3,27;81;30;74;20;3;54;17;47;91,10,8.83,82.37179487179488,0.480022927125295,3445.2244000434875
1884,0,11;42;77;50;55;33;1;6;72;69,10,8.39,81.50040064102564,0.5056177614591061,3445.7392179965973
1885,2,23;89;64;78;0;22;84;46;60;59,10,7.89,80.45873397435898,0.5133141523752457,3449.2490694522858
1886,1,31;40;37;99;56;44;79;90;49;66,10,8.87,77.40384615384616,0.5949464948513569,3449.6984016895294
1887,4,92;76;70;2;53;25;12;7;35;51,10,7.53,78.19511217948718,0.5559892574181924,3452.7425026893616
1888,3,38;96;28;54;48;8;91;30;45;17,10,8.74,78.66586538461539,0.564297371949905,3454.716128349304
1889,0,34;52;6;83;32;98;58;11;42;69,10,8.36,75.96153846153847,0.6866278831775372,3455.1799635887146
1890,2,64;36;61;82;0;18;19;22;78;24,10,9.11,78.35536858974359,0.5679759238010798,3459.2010090351105
1891,1,5;26;66;57;37;49;99;56;44;79,10,9.06,76.75280448717949,0.6126447255030657,3459.6500766277313
1892,4,80;35;53;51;25;43;7;2;92;73,10,8.26,82.0713141025641,0.48575655007973695,3461.5305852890015
1893,3,93;65;17;38;74;81;91;8;27;96,10,7.01,78.28525641025641,0.5517341983623993,3462.362023115158
1894,0,11;10;42;34;1;72;55;29;77;83,10,8.4,78.54567307692308,0.5649141673094187,3464.2010242938995
1895,1,31;37;4;57;49;21;71;99;90;13,10,7.71,80.41866987179488,0.5221918160334612,3467.987284421921
1896,2,95;0;64;24;61;46;19;18;39;41,10,9.14,79.98798076923077,0.5237625306233381,3468.9127128124237
1897,4,2;25;94;62;92;12;76;80;88;75,10,8.03,79.71754807692308,0.5332502451462623,3470.137337207794
1898,3,28;96;93;20;45;30;3;47;74;17,10,8.89,80.56891025641026,0.5201581888473951,3471.8701963424683
1899,0,29;6;11;33;32;52;58;98;68;72,10,7.93,77.29366987179488,0.5866090212112818,3472.736030101776
1900,1,15;13;21;71;26;4;90;79;57;37,10,8.96,79.28685897435898,0.5459756060288503,3477.49858379364
1901,2,23;95;61;19;18;97;24;84;64;78,10,9.11,79.07652243589743,0.5448211706601657,3478.8397691249847
1902,4,25;76;53;43;35;73;62;92;75;70,10,8.24,77.66426282051282,0.5482048892822021,3479.2415919303894
1903,0,33;69;68;32;50;77;58;34;29;72,10,7.88,78.58573717948718,0.5411974929082088,3481.307165145874
1904,3,93;96;47;74;27;65;45;38;91;87,10,8.84,77.37379807692308,0.5518283454271463,3481.6366126537323
1905,4,94;35;7;43;62;25;75;12;76;2,10,7.14,77.99479166666667,0.5412109620296038,3487.298591852188
1906,1,37;26;4;90;71;15;66;99;31;5,10,8.94,80.32852564102564,0.5094227718237119,3487.871195793152
1907,2,84;19;22;16;36;82;95;64;24;46,10,7.93,78.19511217948718,0.5567810799066837,3488.237970352173
1908,0,77;83;10;34;42;69;6;32;68;52,10,8.35,73.4375,0.6549880248613846,3490.255636692047
1909,3,9;38;93;47;20;65;96;3;28;30,10,8.87,76.55248397435898,0.578685231315784,3491.08132314682
1910,4,51;35;53;12;62;86;67;88;7;94,10,6.41,78.30528846153847,0.5404101048524563,3494.5265901088715
1911,2,0;97;95;89;18;46;23;84;16;59,10,5.84,78.8261217948718,0.5528411410557919,3495.189748764038
1912,1,90;13;44;66;99;79;15;21;4;57,10,7.13,79.74759615384616,0.5344677250354718,3495.723666906357
1913,0,33;72;11;69;58;42;52;32;1;50,10,8.4,77.59415064102564,0.5703188906877469,3499.280720949173
1914,3,3;20;48;47;54;87;8;81;38;74,10,8.89,80.64903846153847,0.5098091065883636,3500.520246744156
1915,4,67;94;62;43;7;88;12;92;70;73,10,8.24,81.5204326923077,0.48927266590106183,3503.3495054244995
1916,2,82;64;41;95;78;18;22;23;61;60,10,9.13,81.57051282051282,0.4945188500942328,3505.262012243271
