Epoch,Group_ID,Selected_Clients,Accuracy,Loss,Run_Time,Simulation_Time
1,4,"[2, 25, 7, 35, 75, 86, 92, 80, 67, 88]",10.086137820512821,3.5966627108745084,24.921752214431763,15.449480832921974
2,0,"[11, 1, 6, 77, 83, 68, 34, 69, 52, 32]",11.96915064102564,2.8433160934692774,30.030816078186035,15.042202207130355
3,1,"[56, 66, 4, 40, 99, 49, 15, 14, 71, 5]",12.820512820512821,3.1197513066805325,35.35757517814636,23.006787362364307
4,2,"[36, 18, 0, 23, 24, 78, 60, 82, 41, 64]",17.748397435897434,2.8137783790246034,41.265135288238525,16.731803659618645
5,3,"[48, 45, 3, 28, 30, 47, 65, 20, 8, 17]",14.923878205128204,2.4919107113129053,47.87415266036987,17.063551477443532
6,4,"[43, 88, 2, 76, 75, 62, 53, 92, 73, 80]",15.014022435897436,2.980603893597921,54.67749357223511,30.89896166584395
7,0,"[52, 98, 1, 32, 68, 50, 55, 77, 34, 69]",17.48798076923077,2.5928875024502096,61.028032064437866,35.70484678237989
8,1,"[49, 37, 4, 21, 40, 44, 5, 90, 57, 71]",14.322916666666666,2.5309106294925394,68.58348155021667,46.01357472472861
9,2,"[82, 61, 0, 59, 78, 95, 39, 97, 46, 85]",18.850160256410255,2.4599398435690465,76.16013717651367,36.0939281125861
10,3,"[45, 74, 3, 87, 28, 65, 27, 47, 54, 17]",17.317708333333332,2.4320794068850002,83.39897513389587,34.127102954887064
11,0,"[72, 50, 1, 69, 77, 83, 52, 42, 68, 6]",16.03565705128205,2.5666353671978683,90.5991804599762,54.53550834518397
12,4,"[76, 25, 2, 70, 86, 80, 43, 53, 73, 7]",21.404246794871796,2.362804119403546,98.53580355644226,45.390769217445815
13,1,"[37, 15, 4, 40, 79, 13, 5, 26, 99, 56]",22.045272435897434,2.399984659292759,106.3368673324585,69.02036208709292
14,2,"[95, 19, 0, 89, 46, 97, 60, 63, 64, 22]",19.35096153846154,2.2498592016024466,114.13307929039001,52.88988187842054
