client_id,group_id,system_time
0,2,7.101944787617237
1,0,1.7846983452590772
2,4,2.4738918868509407
3,3,9.953879053803288
4,1,7.924988323364114
5,1,1.073556527314503
6,0,2.389195534544611
7,4,7.612036721143935
8,3,0.8483744740324954
9,3,2.2448335740160625
10,0,6.586386701673758
11,0,7.489503541048038
12,4,7.571051348225428
13,1,3.948091026412924
14,1,8.575424586715188
15,1,4.176658881398081
16,2,4.776062258593098
17,3,8.283700126704787
18,2,7.885590966863426
19,2,9.740279786308907
20,3,7.745866778466623
21,1,7.586467112369542
22,2,2.0053585129350315
23,2,4.143021833523161
24,2,3.5284971732193777
25,4,3.309919944364714
26,1,11.375566146656345
27,3,5.369615662168631
28,3,9.58810681426497
29,0,7.806983514614967
30,3,8.843464586150581
31,1,5.904007842003842
32,0,6.536376004728688
33,0,5.684471792437455
34,0,2.986714855107212
35,4,7.951346236348522
36,2,4.046271526886326
37,1,2.076506543245682
38,3,7.302126191228616
39,2,3.2683988161625885
40,1,11.428820418674231
41,2,10.436515153929275
42,0,10.595878086842573
43,4,4.488218338557333
44,1,1.2696300488465784
45,3,9.794060121446533
46,2,5.5801503548205496
47,3,10.767777900866323
48,3,10.244924204185828
49,1,9.465283944197816
50,0,3.9605315729711794
51,4,4.559592530811061
52,0,9.098276743482607
53,4,4.0654202972247555
54,3,3.0402828703203175
55,0,6.285685990762912
56,1,11.101115822398402
57,1,8.567881323484826
58,0,6.696610090971303
59,2,2.379803947535494
60,2,7.0700265242566696
61,2,11.304914965616245
62,4,2.377439637153418
63,2,6.305346842331213
64,2,9.525118296379363
65,3,8.71184868893898
66,1,8.026308014518431
67,4,7.618826246893554
68,0,4.346811904634982
69,0,3.812104757944381
70,4,9.057556437404116
71,1,8.84393879673699
72,0,10.172794838882599
73,4,9.752153609362596
74,3,6.166166951215699
75,4,5.725923643161497
76,4,8.955286026145203
77,0,7.793872646210924
78,2,8.487532440327453
79,1,8.710344391811368
80,4,9.63178143656037
81,3,3.93791913728493
82,2,5.307836809786161
83,0,3.103362315389923
84,2,6.663599226556415
85,2,1.7148524492950177
86,4,5.79016539245216
87,3,6.4237855068892475
88,4,3.782315306229544
89,2,6.794061647140914
90,1,1.0208460651184268
91,3,1.611799370177105
92,4,9.310447505403403
93,3,4.7722137508581115
94,4,2.0998843089584045
95,2,6.253481332675875
96,3,8.979259829655799
97,2,3.5980411158849224
98,0,8.406987508362576
99,1,2.7477038627590726
