数据集,方法,75%轮次,75%时间(分钟),80%轮次,80%时间(分钟),85%轮次,85%时间(分钟),总时间(分钟),最佳准确率
nonIID(tg75),FedAGSA,49,5.64,110,12.37,236,26.97,34.43,85.92
nonIID(0.1),PyramidFL,65,11.88,110,20.12,0,0.0,54.4,84.3
nonIID(0.1),FedDocs,61,9.92,115,18.41,0,0.0,47.84,84.65
nonIID(0.1),TiFL,67,8.14,124,15.91,0,0.0,33.56,84.64
nonIID(0.1),FedAvg,122,22.27,220,40.28,0,0.0,54.89,82.52
