epoch,selected_clients,accuracy,loss,run_time
25,"[2, 75, 70, 29, 28, 0, 9, 90, 80, 7]",69.82,0.7892487931251526,42.11905598640442
26,"[29, 8, 4, 42, 9, 65, 30, 35, 85, 62]",71.31,0.7679948425292968,43.799296140670776
27,"[27, 69, 16, 92, 73, 60, 31, 52, 24, 12]",71.43,0.7606508761644364,45.87731313705444
28,"[12, 84, 55, 45, 54, 52, 59, 93, 6, 86]",69.93,0.7652638828754426,47.517292499542236
29,"[83, 82, 12, 7, 51, 93, 43, 13, 31, 24]",72.99,0.7201790869235992,49.0704128742218
30,"[24, 68, 57, 17, 54, 23, 35, 59, 31, 9]",71.34,0.7361836439371109,50.94643712043762
31,"[56, 70, 12, 6, 83, 69, 1, 11, 96, 30]",72.9,0.7297459501028061,52.90813970565796
32,"[21, 52, 62, 61, 27, 51, 7, 48, 0, 49]",72.03,0.7065882167220116,54.717803955078125
33,"[33, 58, 36, 54, 89, 93, 71, 84, 91, 62]",72.37,0.7405599510669708,56.06914806365967
34,"[19, 24, 37, 27, 7, 74, 94, 69, 95, 40]",71.86,0.7443035036325455,58.02357625961304
35,"[7, 6, 74, 61, 64, 67, 20, 65, 10, 23]",72.88,0.718769511282444,59.59276294708252
36,"[8, 76, 86, 30, 51, 15, 72, 31, 74, 5]",70.81,0.7485708498954773,61.5625684261322
37,"[79, 10, 53, 84, 74, 72, 66, 40, 33, 26]",74.84,0.6811628806591034,63.227128982543945
38,"[85, 91, 40, 30, 33, 50, 16, 82, 38, 58]",69.65,0.7979035103321075,64.68035840988159
39,"[40, 96, 9, 1, 58, 79, 72, 12, 68, 27]",74.69,0.7053898602724076,66.63812041282654
40,"[64, 33, 16, 44, 8, 31, 47, 36, 20, 56]",74.0,0.6843405884504318,68.02126812934875
41,"[69, 90, 38, 78, 83, 67, 1, 85, 70, 84]",72.64,0.718124580681324,69.78985285758972
42,"[13, 17, 33, 14, 95, 70, 19, 34, 36, 77]",74.0,0.6605179777741432,71.15786242485046
43,"[26, 91, 43, 87, 81, 33, 64, 62, 32, 6]",75.28,0.651228634417057,72.83451819419861
44,"[11, 81, 54, 35, 5, 0, 42, 98, 16, 33]",72.81,0.678413701057434,74.37775111198425
45,"[20, 94, 56, 70, 90, 54, 71, 1, 14, 9]",75.26,0.6838909783959388,75.99223518371582
46,"[88, 19, 69, 4, 47, 74, 70, 18, 55, 16]",75.66,0.6460072144865989,77.72896766662598
47,"[5, 39, 46, 45, 26, 87, 31, 85, 13, 99]",73.18,0.6808443993330002,79.40223932266235
48,"[71, 52, 79, 95, 19, 30, 20, 22, 3, 94]",72.91,0.6915978002548218,81.07471013069153
49,"[42, 52, 85, 94, 31, 34, 20, 89, 13, 48]",74.89,0.6783016437292099,82.6460063457489
50,"[4, 60, 28, 25, 58, 44, 39, 29, 3, 84]",76.6,0.6323041078448296,84.33011960983276
51,"[24, 51, 42, 35, 8, 98, 44, 82, 65, 86]",73.75,0.6491689994931221,85.90437817573547
52,"[68, 42, 3, 14, 33, 22, 74, 4, 13, 76]",76.32,0.6412798035144806,87.55176162719727
53,"[55, 44, 93, 40, 77, 65, 14, 49, 73, 24]",75.54,0.6324781721830368,89.03337121009827
54,"[32, 5, 90, 55, 0, 66, 68, 87, 92, 94]",76.12,0.6400219663977623,90.7982394695282
55,"[94, 85, 25, 46, 55, 8, 42, 79, 40, 84]",76.32,0.6367451989650726,92.26638555526733
